year,title,,,
1994,Burnt by the Sun,,,
1994,Before the Rain,,,
1994,Eat Drink Man Woman,,,
1994,Farinelli: Il Castrato,,,
1994,Strawberry and Chocolate,,,
1995,Antonia's Line,,,
1995,All Things Fair,,,
1995,Dust of Life,,,
1995,O Quatrilho,,,
1995,The Star Maker,,,
1996,Kolya,,,
1996,A Chef in Love,,,
1996,The Other Side of Sunday,,,
1996,Prisoner of the Mountains,,,
1996,Ridicule,,,
1997,Character,,,
1997,Beyond Silence,,,
1997,Four Days in September,,,
1997,Secrets of the Heart,,,
1997,The Thief,,,
1998,Life Is Beautiful,,,
1998,Central Station,,,
1998,Children of Heaven,,,
1998,The Grandfather,,,
1998,Tango,,,
1999,All About My Mother,,,
1999,Himalaya,,,
1999,East-West,,,
1999,Solomon and Gaenor,,,
1999,Under the Sun,,,
2000,"Crouching Tiger, Hidden Dragon",17,213.5,6-Jul-00
2000,Amores Perros,2.4,20.9,16-Jun-00
2000,Divided We Fall,,1.83,16-Mar-00
2000,Everybody's Famous!,,,17-Apr-00
2000,The Taste of Others,9,23.1,1-Mar-00
2001,No Man's Land,14,,19-Sep-01
2001,Am?lie,,,
2001,Elling,,,
2001,Lagaan,,,
2001,Son of the Bride,,,
2002,Nowhere in Africa,,,
2002,The Crime of Father Amaro,,,
2002,Hero,,,
2002,The Man Without a Past,,,
2002,Zus & Zo,,,
2003,The Barbarian Invasions,,,
2003,Evil,,,
2003,The Twilight Samurai,,,
2003,Twin Sisters,,,
2003,?elary,,,
2004,The Sea Inside,,,
2004,As It Is in Heaven,,,
2004,The Chorus,,,
2004,Downfall,,,
2004,Yesterday,,,
2005,Tsotsi,,,
2005,Don't Tell,,,
2005,Joyeux No?l,,,
2005,Paradise Now,,,
2005,Sophie Scholl ? The Final Days,,,
2006,The Lives of Others,,,
2006,After the Wedding,,,
2006,Days of Glory,,,
2006,Pan's Labyrinth,,,
2006,Water,,,
2007,The Counterfeiters,,,
2007,12,,,
2007,Beaufort,,,
2007,Katy?,,,
2007,Mongol,,,
2008,Departures,,,
2008,The Baader Meinhof Complex,,,
2008,The Class,,,
2008,Revanche,,,
2008,Waltz with Bashir,,,
2009,The Secret in Their Eyes,,,
2009,Ajami,,,
2009,The Milk of Sorrow,,,
2009,A Prophet,,,
2009,The White Ribbon,,,
2010,In a Better World,,,
2010,Biutiful,,,
2010,Dogtooth,,,
2010,Incendies,,,
2010,Outside the Law,,,
2011,A Separation,,,
2011,Bullhead,,,
2011,Footnote,,,
2011,In Darkness,,,
2011,Monsieur Lazhar,,,
2012,Amour,,,
2012,Kon-Tiki,,,
2012,No,,,
2012,A Royal Affair,,,
2012,War Witch,,,
2013,The Great Beauty,,,
2013,The Broken Circle Breakdown,,,
2013,The Hunt,,,
2013,The Missing Picture,,,
2013,Omar,,,
2014,Ida,,,
2014,Leviathan,,,
2014,Tangerines,,,
2014,Wild Tales,,,
2014,Timbuktu,,,
2015,Son of Saul,,,
2015,Embrace of the Serpent,,,
2015,Mustang,,,
2015,Theeb,,,
2015,A War,,,
