title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
"b'1,000 Times Good Night'", 24 theaters, 28 days / 4 weeks,"b'$57,800'",Film Movement,"October 24, 2014",b'Foreign',b'1 hrs. 57 min.',b'Unrated',b'N/A',"b'$53,895'"
b'The 100-Year Old Man Who Climbed Out the Window and Disappeared', 76 theaters, 133 days / 19 weeks,"b'$979,100'",Music Box Films,"May 1, 2015",b'Foreign',b'1 hrs. 54 min.',b'R',b'N/A',"b'$51,130,193'"
b'11 Flowers', 2 theaters, 66 days / 9.4 weeks,"b'$9,900'",First Run,"February 22, 2013",b'Foreign',b'1 hrs. 50 min.',b'Unrated',b'N/A',N/A
b'12', 20 theaters, 114 days / 16.3 weeks,"b'$150,900'",Sony Classics,"March 4, 2009",b'Foreign',b'2 hrs. 39 min.',b'PG-13',b'N/A',"b'$7,537,453'"
b'12:08 East of Bucharest', 4 theaters, 93 days / 13.3 weeks,"b'$115,700'",Tartan,"June 6, 2007",b'Foreign',b'1 hrs. 29 min.',b'Unrated',b'N/A',"b'$523,703'"
b'13 Assassins', 31 theaters, 119 days / 17 weeks,"b'$863,800'",Magnolia,"April 29, 2011",b'Foreign',b'2 hrs. 6 min.',b'R',b'N/A',"b'$17,555,141'"
b'13 Tzameti', 6 theaters, 112 days / 16 weeks,"b'$160,500'",Palm,"July 28, 2006",b'Foreign',b'1 hrs. 26 min.',b'Unrated',b'N/A',"b'$795,223'"
b'13B', 10 theaters, 28 days / 4 weeks,"b'$15,000'",AdLabs,"March 6, 2009",b'Foreign',b'2 hrs. 26 min.',b'Unrated',b'N/A',"b'$2,494,521'"
b'14 Blades',N/A,N/A,N/A,Radius-TWC,"August 22, 2014",b'Foreign / Action',b'1 hrs. 56 min.',b'R',b'N/A',"b'$3,786,517'"
b'15', 1 theaters, 51 days / 7.3 weeks,"b'$4,100'",Picture This!,"April 13, 2005",b'Foreign',b'1 hrs. 33 min.',b'Unrated',b'N/A',N/A
b'17 Girls', 10 theaters, 56 days / 8 weeks,"b'$16,800'",Strand,"September 21, 2012",b'Foreign',b'1 hrs. 26 min.',b'Unrated',b'N/A',"b'$201,607'"
b'1911', 33 theaters, 35 days / 5 weeks,"b'$148,000'",Variance Films,"October 7, 2011",b'Foreign',b'N/A',b'R',b'N/A',"b'$135,739'"
"b'2 Autumns, 3 Winters'", 1 theaters, 14 days / 2 weeks,"b'$6,000'",Film Movement,"June 6, 2014",b'Foreign',b'1 hrs. 31 min.',b'Unrated',b'N/A',"b'$5,819'"
b'2 States', 137 theaters, 42 days / 6 weeks,"b'$2,326,800'",UTV Communications,"April 18, 2014",b'Foreign',b'2 hrs. 15 min.',b'Unrated',b'N/A',"b'$2,238,174'"
