title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'R Point',N/A,N/A,N/A,Tartan,N/A,b'Foreign / Horror',b'1 hrs. 47 min.',b'R',b'N/A',"b'$6,744,984'"
b'R... Rajkumar', 91 theaters, 7 days / 1 weeks,"b'$183,900'",Eros,"December 6, 2013",b'Foreign',b'2 hrs. 26 min.',b'Unrated',b'N/A',"b'$166,503'"
b'R100', 11 theaters, 28 days / 4 weeks,"b'$26,600'",Drafthouse,"January 23, 2015",b'Foreign',b'1 hrs. 34 min.',b'Unrated',b'N/A',N/A
b'RA One', 189 theaters, 37 days / 5.3 weeks,"b'$2,739,500'",Eros,"October 26, 2011",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$35,911,689'"
b'Raanjhana', 102 theaters, 28 days / 4 weeks,"b'$933,400'",Eros,"June 21, 2013",b'Foreign',b'2 hrs. 20 min.',b'Unrated',b'N/A',"b'$903,232'"
b'Rab Ne Bana Di Jodi', 83 theaters, 35 days / 5 weeks,"b'$2,507,500'",Yash Raj,"December 12, 2008",b'Foreign',b'2 hrs. 47 min.',b'Unrated',b'N/A',"b'$29,914,469'"
b'Race', 96 theaters, 28 days / 4 weeks,"b'$1,648,800'",UTV Communications,"March 21, 2008",b'Foreign',b'2 hrs. 34 min.',b'Unrated',b'N/A',"b'$24,434,088'"
b'Race 2', 153 theaters, 35 days / 5 weeks,"b'$1,723,200'",UTV Communications,"January 25, 2013",b'Foreign / Action',b'2 hrs. 30 min.',b'Unrated',b'N/A',"b'$1,579,940'"
b'Rage (Rabia)', 2 theaters, 28 days / 4 weeks,"b'$6,000'",Strand,"January 28, 2011",b'Foreign',b'1 hrs. 29 min.',b'Unrated',b'N/A',"b'$408,570'"
b'Ragnarok', 2 theaters, 21 days / 3 weeks,"b'$1,500'",Magnolia,"August 22, 2014",b'Foreign',b'1 hrs. 36 min.',b'PG-13',b'N/A',"b'$3,721,345'"
b'The Raid 2', 954 theaters, 84 days / 12 weeks,"b'$2,731,300'",Sony Classics,"March 28, 2014",b'Foreign / Action',b'2 hrs. 28 min.',b'R',b'N/A',"b'$2,627,209'"
b'The Raid:<br/>Redemption', 881 theaters, 112 days / 16 weeks,"b'$4,386,600'",Sony Classics,"March 23, 2012",b'Foreign / Action',b'1 hrs. 41 min.',b'R',b'N/A',"b'$4,105,187'"
b'Raise the Red Lantern', 40 theaters,N/A,"b'$5,431,900'",Orion Classics,"March 13, 1992",b'Foreign',b'2 hrs. 5 min.',b'PG',b'N/A',N/A
b'Raja Natwarlal', 73 theaters, 10 days / 1.4 weeks,"b'$140,500'",UTV Communications,"August 29, 2014",b'Foreign',b'2 hrs. 21 min.',b'Unrated',b'N/A',N/A
b'Ram-Leela', 204 theaters, 28 days / 4 weeks,"b'$2,840,500'",Eros,"November 15, 2013",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$2,738,863'"
b'Ramaiya Vastavaiya', 67 theaters, 7 days / 1 weeks,"b'$88,500'",Prabhudheva,"July 19, 2013",b'Foreign',b'2 hrs. 30 min.',b'Unrated',b'N/A',N/A
b'Ran', 30 theaters,N/A,"b'$8,420,500'",Orion Classics,"September 27, 1985",b'Foreign',b'2 hrs. 40 min.',b'R',b'$11.5 million',N/A
b'Rang De Basanti', 66 theaters, 70 days / 10 weeks,"b'$2,905,700'",UTV Communications,"January 27, 2006",b'Foreign',b'2 hrs. 38 min.',b'Unrated',b'N/A',"b'$8,846,694'"
