title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'U Me Aur Hum', 89 theaters, 21 days / 3 weeks,"b'$1,240,100'",Eros,"April 11, 2008",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$10,948,019'"
b'Udaan', 2 theaters, 17 days / 2.4 weeks,"b'$8,100'",UTV Communications,"July 16, 2010",b'Foreign',b'2 hrs. 14 min.',b'Unrated',b'N/A',N/A
b'Ugly Me', 26 theaters,N/A,"b'$64,200'",ArcAngelo Entertainment,"February 8, 2008",b'Foreign',b'1 hrs. 58 min.',b'R',b'N/A',"b'$2,198,188'"
b'Umrao Jaan', 65 theaters, 7 days / 1 weeks,"b'$641,200'",AdLabs,"November 3, 2006",b'Foreign',b'3 hrs. 0 min.',b'Unrated',b'N/A',"b'$1,371,723'"
b'Un air de famille',N/A,N/A,"b'$171,400'",Leisure Time,"June 12, 1998",b'Foreign',b'1 hrs. 50 min.',b'Unrated',b'N/A',N/A
b'Un Coeur en Hiver',N/A,N/A,"b'$3,358,200'",October,"June 4, 1993",b'Foreign',b'1 hrs. 41 min.',b'Unrated',b'N/A',N/A
b'Un Flic (2013 re-release)', 1 theaters, 122 days / 17.4 weeks,"b'$51,100'",Rialto,"April 19, 2013",b'Foreign',b'N/A',b'PG',b'N/A',N/A
b'Una Noche', 6 theaters,N/A,"b'$111,400'",IFC,"August 23, 2013",b'Foreign',b'1 hrs. 30 min.',b'Unrated',b'N/A',N/A
b'Uncle Boonmee Who Can Recall His Past Lives', 6 theaters, 163 days / 23.3 weeks,"b'$201,400'",Strand,"March 2, 2011",b'Foreign',b'1 hrs. 54 min.',b'Unrated',b'N/A',"b'$1,130,645'"
b'Unconscious', 5 theaters, 238 days / 34 weeks,"b'$86,200'",Regent Releasing,"December 29, 2006",b'Foreign',b'1 hrs. 48 min.',b'R',b'N/A',"b'$72,275'"
b'Uncut', 1 theaters, 7 days / 1 weeks,"b'$1,000'",Strand,"June 16, 2006",b'Foreign',b'1 hrs. 18 min.',b'Unrated',b'N/A',N/A
b'Under the Domim Tree',N/A,N/A,"b'$104,900'",Strand,"May 10, 1996",b'Foreign',b'1 hrs. 42 min.',b'Unrated',b'N/A',N/A
b'Under the Sand', 25 theaters,N/A,"b'$2,222,700'",Winstar,"May 4, 2001",b'Foreign',b'1 hrs. 35 min.',b'Unrated',b'N/A',"b'$6,531,687'"
b'Under the Sun', 10 theaters,N/A,"b'$483,500'",Shadow Dist.,"August 3, 2001",b'Foreign',b'2 hrs. 10 min.',b'Unrated',b'N/A',N/A
b'Underground',N/A,N/A,"b'$322,800'",New Yorker,"June 20, 1997",b'Foreign',b'2 hrs. 47 min.',b'Unrated',b'N/A',N/A
b'Undertow (2010)', 3 theaters, 154 days / 22 weeks,"b'$118,000'",The Film Collaborative,"September 17, 2010",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',"b'$501,256'"
b'Unforgivable', 6 theaters, 126 days / 18 weeks,"b'$171,200'",Strand,"June 29, 2012",b'Foreign',b'1 hrs. 51 min.',b'Unrated',b'N/A',"b'$1,305,889'"
b'United Red Army', 1 theaters, 7 days / 1 weeks,"b'$2,900'",Lorber Films,"May 27, 2011",b'Foreign',b'3 hrs. 10 min.',b'Unrated',b'N/A',N/A
b'The Unknown Woman', 2 theaters,N/A,"b'$183,500'",Outsider Pictures,"May 30, 2008",b'Foreign',b'1 hrs. 58 min.',b'R',b'N/A',"b'$6,850,853'"
b'Untold Scandal', 8 theaters, 170 days / 24.3 weeks,"b'$87,400'",Kino,"October 13, 2004",b'Foreign',b'2 hrs. 4 min.',b'Unrated',b'N/A',"b'$5,762,801'"
b'Unveiled', 1 theaters, 7 days / 1 weeks,"b'$4,100'",Wolfe Releasing,"November 18, 2005",b'Foreign',b'1 hrs. 37 min.',b'Unrated',b'N/A',N/A
b'Up and Down', 16 theaters, 119 days / 17 weeks,"b'$331,100'",Sony Classics,"February 25, 2005",b'Foreign',b'1 hrs. 48 min.',b'R',b'N/A',"b'$2,705,163'"
b'Ushpizin', 48 theaters, 93 days / 13.3 weeks,"b'$1,890,000'",Picturehouse,"October 19, 2005",b'Foreign',b'1 hrs. 30 min.',b'PG',b'N/A',"b'$1,565,016'"
b'Uzumasa Limelight', 13 theaters, 42 days / 6 weeks,"b'$20,400'",Eleven Arts,"December 5, 2014",b'Foreign',b'1 hrs. 44 min.',b'Unrated',b'N/A',N/A
b'Va Savoir (Who Knows?)', 35 theaters,N/A,"b'$1,388,200'",Sony Classics,"September 28, 2001",b'Foreign',b'2 hrs. 34 min.',b'PG-13',b'N/A',"b'$907,323'"
b'Valentin', 15 theaters, 112 days / 16 weeks,"b'$384,800'",Miramax,"May 7, 2004",b'Foreign',b'1 hrs. 26 min.',b'PG-13',b'N/A',"b'$1,691,017'"
b'The Valet', 92 theaters, 133 days / 19 weeks,"b'$2,425,300'",Sony Classics,"April 20, 2007",b'Foreign',b'1 hrs. 25 min.',b'PG-13',b'N/A',"b'$29,414,553'"
b'Valley of the Wolves:<br/>Iraq',N/A,N/A,N/A,Filmmates Corp.,"November 24, 2006",b'Foreign / Action',b'2 hrs. 2 min.',b'Unrated',b'N/A',"b'$23,465,471'"
b'Van Gogh',N/A,N/A,"b'$403,200'",Sony Classics,"October 30, 1992",b'Foreign',b'2 hrs. 35 min.',b'R',b'N/A',N/A
b'Vanaja', 11 theaters, 105 days / 15 weeks,"b'$203,400'",Emerging Pictures,"August 31, 2007",b'Foreign',b'1 hrs. 51 min.',b'Unrated',b'N/A',N/A
b'The Vanished Empire', 1 theaters, 63 days / 9 weeks,"b'$11,900'",Kino,"July 10, 2009",b'Foreign',b'1 hrs. 45 min.',b'Unrated',b'N/A',N/A
b'Veer Zaara', 88 theaters, 78 days / 11.1 weeks,"b'$4,094,400'",Yash Raj,"November 11, 2004",b'Foreign',b'3 hrs. 12 min.',b'Unrated',b'$7 million',"b'$2,938,532'"
