rank,distributor,movies,total box office,tickets,share
1,Warner Bros.,666,29568957405,4467130931,15.09
2,Walt Disney,524,29393034633,4537661828,15.00
3,Sony Pictures,634,24490000958,3787901360,12.50
4,20th Century Fox,458,22746147357,3452062010,11.61
5,Universal,427,22171053208,3356068483,11.31
6,Paramount Pictures,429,21947765069,3396046564,11.20
7,Lionsgate,334,7146261228,946471612,3.65
8,New Line,205,6193114702,1116171066,3.16
9,Dreamworks SKG,77,4278649271,760431349,2.18
10,Miramax,382,3841082392,714988687,1.96
11,MGM,229,3510209398,642120427,1.79
12,Fox Searchlight,195,2282861138,329831325,1.16
13,Weinstein Co.,167,2077152078,265199311,1.06
14,Focus Features,140,1775118963,244063008,0.91
15,Summit Entertainment,40,1667022795,217204346,0.85
16,Sony Pictures Classics,449,1082016788,167497101,0.55
17,Miramax/Dimension,28,1035673230,177909485,0.53
18,Relativity,44,922058378,114309590,0.47
19,Open Road,38,697309051,85536764,0.36
20,Newmarket Films,26,450945962,72913239,0.23
21,IFC Films,359,406022644,63779687,0.21
22,FilmDistrict,16,382933030,47522112,0.20
23,CBS Films,23,382636677,47480446,0.20
24,Artisan,60,381988096,72347363,0.19
25,Paramount Vantage,87,376993838,55448089,0.19
26,Overture Films,23,342696132,45769788,0.17
27,USA Films,28,296282431,53244929,0.15
28,Gramercy,59,294697471,64740015,0.15
29,Weinstein/Dimension,12,292964782,40767850,0.15
30,IMAX Films,87,288553100,48147101,0.15
31,STX Entertainment,7,242402234,28754709,0.12
32,Roadside Attractions,114,242329838,30084318,0.12
33,Picturehouse,30,155411956,22299888,0.08
34,Polygram,9,150730128,32271996,0.08
35,Warner Independent,26,149630060,23182668,0.08
36,MacGillivray Freeman Films,7,148322809,29116342,0.08
37,A24,42,147650305,17683289,0.08
38,Focus/Rogue Pictures,10,143951668,22414937,0.07
39,Fine Line,73,133664653,26939004,0.07
40,Samuel Goldwyn Films,82,129261689,17995279,0.07
41,Sony/TriStar,10,120306715,24284616,0.06
42,Magnolia Pictures,293,117767430,16320148,0.06
43,Eros Entertainment,133,115575272,15547113,0.06
44,Freestyle Releasing,99,112571176,15327991,0.06
45,Pure Flix Entertainment,6,111225040,13423309,0.06
46,October Films,45,105688542,22150242,0.05
47,United Artists,10,100917553,14086858,0.05
48,UTV Communications,96,76060409,9829536,0.04
49,Alliance Films,47,74299926,10807419,0.04
50,Pantelion Films,11,68748079,8476085,0.04
51,Savoy,10,65656828,15092800,0.03
52,Rocky Mountain Pictures,29,65628076,8741106,0.03
53,Filmways Pictures,1,65233369,10176812,0.03
54,ThinkFilm,105,61702375,9529534,0.03
55,National Geographic Entertainment,26,60211129,8011887,0.03
56,Yash Raj Films,51,59413300,8432155,0.03
57,Yari Film Group Releasing,13,56140232,8421226,0.03
58,Trimark,28,55942522,11883312,0.03
59,Destination Films,5,55116326,10225661,0.03
60,Broad Green Pictures,10,52505654,6228423,0.03
61,Orion Pictures,12,51717241,11588590,0.03
62,Goldwyn Entertainment,33,49807146,10769844,0.03
63,Bleecker Street,9,48574600,5762108,0.02
64,Giant Screen Films,7,45662623,7719013,0.02
65,nWave Pictures,27,42486061,7042486,0.02
66,First Look,51,41544263,7514020,0.02
67,RADiUS-TWC,27,35623234,4298068,0.02
68,EuropaCorp,3,35510162,4212354,0.02
69,Apparition,8,29941563,3907581,0.02
70,Clarius Entertainment,5,29119817,3555725,0.01
71,IDP/Goldwyn/Roadside,19,28285177,4360764,0.01
72,Palm Pictures,41,27179393,4530404,0.01
73,Zeitgeist,102,27167630,4175852,0.01
74,Focus / Gramercy,1,26594261,3154716,0.01
75,Music Box Films,88,26420464,3372534,0.01
76,New Yorker,102,23640954,4215485,0.01
77,3D Entertainment,7,23621565,3315452,0.01
78,IDP Distribution,16,23406780,3907113,0.01
79,High Top Releasing,8,21918498,2617369,0.01
80,Alchemy,32,21556266,2671954,0.01
81,Mongrel Media,95,20135687,2481742,0.01
82,Live Entertainment,4,19129723,4151948,0.01
83,SK Films,5,19084280,3054174,0.01
84,Odeon Films,9,17763674,2949124,0.01
85,Miramax/Roadside Attractions,1,17737646,2104109,0.01
86,Excel Entertainment,18,17155655,2808853,0.01
87,Entertainment One,33,16340929,2015478,0.01
88,Anchor Bay Entertainment,57,16327436,2069807,0.01
89,Screen Media Films,33,15588153,2641043,0.01
90,WGBH Giant-Screen Films,3,15553324,2695707,0.01
91,Strand,248,15121283,2517928,0.01
92,Cohen Media Group,43,14934050,1821151,0.01
93,Oscilloscope Pictures,74,14439842,1814739,0.01
94,China Lion Film Distribution,57,14293592,1718082,0.01
