title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
"b""C'est La Vie""", 28 theaters,N/A,"b'$1,649,000'",Samuel Goldwyn,"November 2, 1990",b'Foreign',b'1 hrs. 50 min.',b'Unrated',b'N/A',"b'$805,472'"
"b""C'Est Si Bon""", 23 theaters, 28 days / 4 weeks,"b'$175,100'",CJ Entertainment,"February 13, 2015",b'Foreign',b'2 hrs. 2 min.',b'Unrated',b'N/A',"b'$164,167'"
b'Cabeza De Vaca', 11 theaters,N/A,"b'$1,646,700'",Concorde,"May 15, 1992",b'Foreign',b'1 hrs. 39 min.',b'R',b'N/A',N/A
b'Caesar Must Die', 4 theaters, 140 days / 20 weeks,"b'$82,700'",Adopt Films,"February 1, 2013",b'Foreign',b'1 hrs. 16 min.',b'Unrated',b'N/A',"b'$76,908'"
b'Cafe au Lait',N/A,N/A,"b'$568,900'",New Yorker,"August 19, 1994",b'Foreign',b'1 hrs. 31 min.',b'Unrated',b'N/A',N/A
b'Camille Claudel', 34 theaters,N/A,"b'$6,833,400'",Orion Classics,"December 21, 1989",b'Foreign',b'2 hrs. 38 min.',b'R',b'N/A',N/A
b'Camille Claudel 1915', 4 theaters, 128 days / 18.3 weeks,"b'$37,000'",Kino Lorber,"October 16, 2013",b'Foreign',b'1 hrs. 35 min.',b'Unrated',b'N/A',"b'$35,296'"
b'Campfire', 5 theaters, 28 days / 4 weeks,"b'$47,100'",Film Movement,"September 9, 2005",b'Foreign',b'1 hrs. 36 min.',b'Unrated',b'N/A',N/A
b'Camping Sauvage', 99 theaters,N/A,"b'$5,431,100'",Alliance,"July 9, 2004",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',"b'$3,900,099'"
b'Canary', 1 theaters, 7 days / 1 weeks,b'$600',ImaginAsian Pictures,"July 25, 2008",b'Foreign',b'2 hrs. 12 min.',b'Unrated',b'N/A',N/A
b'Capital', 34 theaters,N/A,"b'$112,300'",Cohen Media Group,"October 25, 2013",b'Foreign',b'1 hrs. 53 min.',b'R',b'N/A',"b'$2,521,781'"
b'Caramel', 50 theaters, 182 days / 26 weeks,"b'$1,273,200'",Roadside Attractions,"February 1, 2008",b'Foreign',b'1 hrs. 35 min.',b'PG',b'N/A',"b'$14,248,749'"
