title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'I (2015)', 222 theaters, 7 days / 1 weeks,"b'$1,545,600'",Aascar Film,"January 13, 2015",b'Foreign',b'3 hrs. 8 min.',b'Unrated',b'N/A',"b'$1,449,232'"
b'I Am Love', 166 theaters, 168 days / 24 weeks,"b'$5,452,500'",Magnolia,"June 18, 2010",b'Foreign',b'2 hrs. 0 min.',b'R',b'N/A',"b'$10,906,568'"
"b""I Don't Want to Sleep Alone""", 1 theaters, 72 days / 10.3 weeks,"b'$24,300'",Strand,"May 9, 2007",b'Foreign',b'1 hrs. 55 min.',b'Unrated',b'N/A',"b'$226,026'"
b'I Hate Luv Storys', 85 theaters, 37 days / 5.3 weeks,"b'$923,700'",UTV Communications,"June 30, 2010",b'Foreign',b'2 hrs. 15 min.',b'Unrated',b'N/A',"b'$15,719,212'"
b'I Saw the Devil', 15 theaters, 56 days / 8 weeks,"b'$141,700'",Magnolia,"March 4, 2011",b'Foreign',b'2 hrs. 21 min.',b'Unrated',b'N/A',"b'$12,773,990'"
b'I Served the King of England', 38 theaters, 119 days / 17 weeks,"b'$744,700'",Sony Classics,"August 29, 2008",b'Foreign',b'2 hrs. 0 min.',b'R',b'N/A',"b'$7,319,210'"
b'I Wish', 12 theaters, 105 days / 15 weeks,"b'$158,100'",Magnolia,"May 11, 2012",b'Foreign',b'2 hrs. 8 min.',b'PG',b'N/A',"b'$1,543,385'"
"b""I'm Glad My Mother is Alive""", 1 theaters, 56 days / 8 weeks,"b'$9,500'",Strand,"September 2, 2011",b'Foreign',b'1 hrs. 30 min.',b'Unrated',b'N/A',"b'$21,857'"
"b""I'm Not Scared""", 63 theaters, 147 days / 21 weeks,"b'$2,252,600'",Miramax,"April 9, 2004",b'Foreign',b'1 hrs. 50 min.',b'R',b'N/A',"b'$7,354,418'"
"b""I'm So Excited""", 99 theaters, 133 days / 19 weeks,"b'$1,510,400'",Sony Classics,"June 28, 2013",b'Foreign',b'1 hrs. 42 min.',b'R',b'N/A',"b'$11,724,119'"
"b""I've Loved You So Long""", 69 theaters, 182 days / 26 weeks,"b'$3,774,200'",Sony Classics,"October 24, 2008",b'Foreign',b'1 hrs. 55 min.',b'PG-13',b'N/A',"b'$22,272,176'"
b'Iceman (2014)', 6 theaters, 10 days / 1.4 weeks,"b'$8,200'",Well Go USA,"September 19, 2014",b'Foreign / Action',b'1 hrs. 45 min.',b'R',b'N/A',"b'$26,007,679'"
b'The Icicle Thief', 22 theaters,N/A,"b'$2,521,500'",Aries Films,"August 24, 1990",b'Foreign',b'1 hrs. 28 min.',b'Unrated',b'N/A',N/A
b'Ida', 137 theaters, 294 days / 42 weeks,"b'$4,025,100'",Music Box Films,"May 2, 2014",b'Foreign',b'1 hrs. 20 min.',b'PG-13',b'N/A',"b'$3,827,060'"
"b'If I Want to Whistle, I Whistle'", 1 theaters,N/A,"b'$13,400'",Film Movement,"January 5, 2011",b'Foreign',b'1 hrs. 34 min.',b'Unrated',b'N/A',"b'$231,679'"
"b""If You Don't, I Will""", 1 theaters, 37 days / 5.3 weeks,"b'$10,300'",Film Movement,"December 17, 2014",b'Foreign',b'1 hrs. 42 min.',b'Unrated',b'N/A',N/A
b'Il Divo', 8 theaters, 217 days / 31 weeks,"b'$278,600'",Music Box Films,"April 24, 2009",b'Foreign',b'1 hrs. 59 min.',b'Unrated',b'N/A',"b'$11,260,366'"
b'Il Futuro', 3 theaters, 77 days / 11 weeks,"b'$15,100'",Strand,"September 6, 2013",b'Foreign',b'1 hrs. 34 min.',b'Unrated',b'N/A',N/A
b'Il Ne Faut Jurer de Rien', 6 theaters, 17 days / 2.4 weeks,"b'$29,500'",Alliance,"January 26, 2007",b'Foreign',b'1 hrs. 41 min.',b'Unrated',b'N/A',N/A
b'Il Postino', 430 theaters,N/A,"b'$42,856,300'",Miramax,"June 16, 1995",b'Foreign',b'1 hrs. 48 min.',b'PG',b'N/A',N/A
b'Illegal (2011)', 1 theaters, 7 days / 1 weeks,b'$700',Film Movement,"March 25, 2011",b'Foreign',b'1 hrs. 30 min.',b'Unrated',b'N/A',"b'$290,108'"
