title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
"b""L'Age d'Or (Re-issue)""", 2 theaters, 73 days / 10.4 weeks,"b'$45,600'",Kino,"January 30, 2004",b'Foreign',b'1 hrs. 30 min.',b'Unrated',b'N/A',N/A
"b""L'Age des Tenebres""", 68 theaters, 105 days / 15 weeks,"b'$1,832,300'",Alliance,"December 7, 2007",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$3,414,681'"
"b""L'Amour Fou""", 18 theaters,N/A,"b'$335,800'",IFC,"May 13, 2011",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',"b'$312,494'"
"b""L'Auberge Espagnole""", 100 theaters, 133 days / 19 weeks,"b'$4,064,800'",Fox Searchlight,"May 16, 2003",b'Foreign',b'2 hrs. 2 min.',b'R',b'N/A',"b'$31,024,110'"
"b""L'Auberge Espagnole (Canada)""", 23 theaters,N/A,"b'$1,533,000'",Chris.,"March 21, 2003",b'Foreign',b'2 hrs. 2 min.',b'R',b'N/A',"b'$3,897,799'"
"b""L'Enfant (The Child)""", 40 theaters, 133 days / 19 weeks,"b'$861,900'",Sony Classics,"March 24, 2006",b'Foreign',b'1 hrs. 40 min.',b'R',b'N/A',"b'$5,507,396'"
"b""L'Enfer""", 2 theaters,N/A,"b'$80,800'",MK2 USA,"October 19, 1994",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',N/A
"b""L'Iceberg""", 3 theaters, 91 days / 13 weeks,"b'$24,900'",First Run,"May 4, 2007",b'Foreign',b'1 hrs. 24 min.',b'Unrated',b'N/A',N/A
"b""L'Odyssee d'Alice Tremblay""",N/A,N/A,"b'$2,586,000'",Alliance,"June 28, 2002",b'Foreign',b'1 hrs. 42 min.',b'Unrated',b'N/A',N/A
b'La Belle Noiseuse',N/A,N/A,"b'$821,800'",MK2 USA,"October 4, 1991",b'Foreign',b'4 hrs. 0 min.',b'Unrated',b'N/A',N/A
b'La Cage aux Folles',N/A,N/A,"b'$70,467,800'",MGM,"March 30, 1979",b'Foreign',b'1 hrs. 50 min.',b'R',b'N/A',N/A
b'La Cage aux Folles 2',N/A,N/A,"b'$21,650,400'",MGM,"February 15, 1981",b'Foreign',b'1 hrs. 40 min.',b'R',b'N/A',N/A
b'La Cage aux Folles 3', 49 theaters,N/A,"b'$806,000'",TriStar,"February 14, 1986",b'Foreign',b'1 hrs. 27 min.',b'PG-13',b'N/A',N/A
b'La Ceremonie',N/A,N/A,"b'$1,710,800'",New Yorker,"December 20, 1996",b'Foreign',b'1 hrs. 51 min.',b'Unrated',b'N/A',N/A
b'La Chinoise (re-issue)', 1 theaters, 16 days / 2.3 weeks,"b'$38,800'",Koch Lorber Films,"October 10, 2007",b'Foreign',b'1 hrs. 36 min.',b'Unrated',b'N/A',N/A
b'La Femme Nikita', 118 theaters,N/A,"b'$10,322,000'",Samuel Goldwyn,"March 8, 1991",b'Foreign / Action',b'1 hrs. 57 min.',b'R',b'N/A',N/A
b'La Grande Seduction', 80 theaters, 350 days / 50 weeks,"b'$13,378,400'",Odeon,"July 11, 2003",b'Foreign',b'1 hrs. 48 min.',b'Unrated',b'N/A',"b'$12,587,032'"
b'La Leon', 1 theaters, 7 days / 1 weeks,"b'$2,100'",Music Box Films,"October 10, 2008",b'Foreign',b'1 hrs. 25 min.',b'Unrated',b'N/A',"b'$27,315'"
b'La Ligne brisee', 61 theaters, 14 days / 2 weeks,"b'$562,400'",Alliance,"March 7, 2008",b'Foreign',b'N/A',b'Unrated',b'N/A',N/A
b'A La Mala', 384 theaters, 35 days / 5 weeks,"b'$3,865,100'",Lionsgate,"February 27, 2015",b'Foreign',b'1 hrs. 39 min.',b'PG-13',b'N/A',N/A
b'La Moustache', 6 theaters, 205 days / 29.3 weeks,"b'$323,600'",Cinema Guild,"May 24, 2006",b'Foreign',b'1 hrs. 26 min.',b'Unrated',b'N/A',"b'$3,044,771'"
b'La Mujer de Mi Hermano', 217 theaters, 42 days / 6 weeks,"b'$3,712,900'",Lionsgate,"April 14, 2006",b'Foreign',b'1 hrs. 30 min.',b'R',b'N/A',"b'$8,492,178'"
b'La Petite Jerusalem', 5 theaters, 196 days / 28 weeks,"b'$70,800'",Kino,"January 27, 2006",b'Foreign',b'1 hrs. 34 min.',b'Unrated',b'N/A',"b'$431,623'"
b'La Petite Lili', 1 theaters, 196 days / 28 weeks,"b'$47,600'",First Run,"November 12, 2004",b'Foreign',b'1 hrs. 34 min.',b'Unrated',b'N/A',"b'$34,634'"
b'La Promesse',N/A,N/A,"b'$1,118,000'",New Yorker,"June 16, 1997",b'Foreign',b'1 hrs. 33 min.',b'Unrated',b'N/A',N/A
b'La Riviere aux Castors', 44 theaters, 28 days / 4 weeks,"b'$435,300'",Alliance,"February 22, 2008",b'Foreign',b'1 hrs. 17 min.',b'Unrated',b'N/A',"b'$1,591,097'"
b'La Soga', 20 theaters, 49 days / 7 weeks,"b'$236,600'",7-57 Releasing,"August 13, 2010",b'Foreign',b'1 hrs. 42 min.',b'R',b'N/A',N/A
b'La Vie en Rose', 178 theaters, 308 days / 44 weeks,"b'$12,954,900'",Picturehouse,"June 8, 2007",b'Foreign',b'2 hrs. 16 min.',b'PG-13',b'$25 million',"b'$86,274,793'"
b'La Vie Promise', 2 theaters, 84 days / 12 weeks,"b'$55,800'",Empire,"March 5, 2004",b'Foreign',b'1 hrs. 34 min.',b'Unrated',b'N/A',"b'$40,029'"
