title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'Xiu Xiu:<br/>The Sent Down Girl', 22 theaters,N/A,"b'$1,723,400'",Stratosphere,"May 7, 1999",b'Foreign',b'1 hrs. 40 min.',b'R',b'N/A',"b'$1,010,933'"
b'XXY', 2 theaters, 189 days / 27 weeks,"b'$58,300'",Film Movement,"May 2, 2008",b'Foreign',b'1 hrs. 26 min.',b'Unrated',b'N/A',"b'$2,728,869'"
b'Y Tu Mama Tambien', 286 theaters,N/A,"b'$20,628,500'",IFC,"March 15, 2002",b'Foreign',b'1 hrs. 45 min.',b'R',b'N/A',"b'$33,616,692'"
b'Yaadein', 56 theaters,N/A,"b'$1,530,400'",Tips,"July 27, 2001",b'Foreign',b'N/A',b'Unrated',b'N/A',N/A
b'Yaavarum Nalam', 6 theaters, 28 days / 4 weeks,"b'$44,100'",AdLabs,"March 6, 2009",b'Foreign',b'2 hrs. 26 min.',b'Unrated',b'N/A',N/A
b'Yamla Pagla Deewana', 84 theaters, 28 days / 4 weeks,"b'$1,094,100'",Eros,"January 14, 2011",b'Foreign',b'2 hrs. 25 min.',b'Unrated',b'N/A',"b'$1,593,201'"
b'Yang Ban Xi', 2 theaters, 296 days / 42.3 weeks,"b'$28,100'",Shadow Dist.,"February 8, 2006",b'Foreign',b'1 hrs. 25 min.',b'Unrated',b'N/A',N/A
b'The Year My Parents Went on Vacation', 30 theaters, 154 days / 22 weeks,"b'$973,500'",City Lights Pictures Releasing,"February 15, 2008",b'Foreign',b'1 hrs. 44 min.',b'PG',b'N/A',"b'$3,216,792'"
b'A Year Without Love', 2 theaters, 63 days / 9 weeks,"b'$32,200'",Strand,"February 10, 2006",b'Foreign',b'1 hrs. 42 min.',b'R',b'N/A',"b'$62,676'"
b'Yeh Jawaani Hai Deewani', 161 theaters, 52 days / 7.4 weeks,"b'$3,955,400'",Eros,"May 31, 2013",b'Foreign',b'2 hrs. 5 min.',b'Unrated',b'N/A',"b'$3,827,466'"
b'Yella', 2 theaters, 161 days / 23 weeks,"b'$37,000'",Cinema Guild,"May 16, 2008",b'Foreign',b'1 hrs. 29 min.',b'Unrated',b'N/A',"b'$999,588'"
b'Yellow Asphalt', 1 theaters, 198 days / 28.3 weeks,"b'$17,700'",New Yorker,"March 13, 2002",b'Foreign',b'1 hrs. 27 min.',b'Unrated',b'N/A',N/A
"b'Yes Nurse, No Nurse'", 2 theaters, 84 days / 12 weeks,"b'$18,600'",Regent Releasing,"September 3, 2004",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',N/A
b'Yi Yi (A One and a Two)', 15 theaters,N/A,"b'$1,741,000'",Winstar,"October 6, 2000",b'Foreign',b'2 hrs. 53 min.',b'Unrated',b'N/A',N/A
b'Yossi', 8 theaters, 84 days / 12 weeks,"b'$127,400'",Strand,"January 25, 2013",b'Foreign',b'1 hrs. 24 min.',b'Unrated',b'N/A',"b'$117,047'"
"b""You Ain't Seen Nothin' Yet""", 3 theaters, 140 days / 20 weeks,"b'$20,000'",Kino Lorber,"June 7, 2013",b'Foreign',b'1 hrs. 55 min.',b'Unrated',b'N/A',"b'$506,750'"
b'You I Love', 4 theaters, 252 days / 36 weeks,"b'$82,900'",Picture This!,"November 19, 2004",b'Foreign',b'1 hrs. 23 min.',b'Unrated',b'N/A',N/A
b'You Will Be My Son', 21 theaters,N/A,"b'$307,600'",Cohen Media Group,"August 16, 2013",b'Foreign',b'1 hrs. 42 min.',b'R',b'N/A',"b'$3,894,474'"
"b'You, the Living'", 1 theaters, 16 days / 2.3 weeks,"b'$25,900'",Palisades Tartan,"July 29, 2009",b'Foreign',b'1 hrs. 35 min.',b'Unrated',b'N/A',N/A
b'Young and Beautiful', 8 theaters,N/A,"b'$63,500'",IFC,"April 25, 2014",b'Foreign',b'1 hrs. 33 min.',b'Unrated',b'N/A',"b'$61,067'"
b'Young and Wild', 2 theaters, 7 days / 1 weeks,"b'$5,900'",IFC,"November 30, 2012",b'Foreign',b'1 hrs. 36 min.',b'Unrated',b'N/A',N/A
b'Young Detective Dee:<br/>Rise of the Sea Dragon', 35 theaters, 24 days / 3.4 weeks,"b'$91,000'",AMC Theaters,"September 27, 2013",b'Foreign / Action',b'1 hrs. 50 min.',b'Unrated',b'N/A',"b'$72,287,783'"
b'Young Goethe in Love', 9 theaters, 189 days / 27 weeks,"b'$178,300'",Music Box Films,"November 4, 2011",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',"b'$5,788,728'"
b'Yuvvraaj', 77 theaters, 21 days / 3 weeks,"b'$687,600'",Eros,"November 21, 2008",b'Foreign',b'2 hrs. 38 min.',b'Unrated',b'N/A',"b'$5,167,952'"
b'Yves Saint Laurent', 24 theaters, 93 days / 13.3 weeks,"b'$775,100'",Weinstein Company,"June 25, 2014",b'Foreign',b'1 hrs. 45 min.',b'R',b'N/A',"b'$21,026,290'"
b'Z (40th anniv. re-issue)', 2 theaters, 189 days / 27 weeks,"b'$96,700'",Rialto,"March 13, 2009",b'Foreign',b'2 hrs. 7 min.',b'R',b'N/A',N/A
b'Zatoichi (Canada)', 15 theaters,N/A,"b'$356,000'",Seville,"June 11, 2004",b'Foreign / Action',b'1 hrs. 55 min.',b'R',b'N/A',"b'$1,118,163'"
b'Zatoichi:<br/>The Blind Swordsman', 55 theaters, 70 days / 10 weeks,"b'$1,203,300'",Miramax,"July 23, 2004",b'Foreign / Action',b'1 hrs. 55 min.',b'R',b'N/A',"b'$32,285,593'"
b'Zelary', 21 theaters, 112 days / 16 weeks,"b'$460,200'",Sony Classics,"September 17, 2004",b'Foreign',b'2 hrs. 28 min.',b'R',b'N/A',"b'$15,461,305'"
b'Zentropa', 1 theaters,N/A,"b'$2,101,400'",Miramax,"May 22, 1992",b'Foreign',b'1 hrs. 52 min.',b'R',b'N/A',N/A
b'Zero Bridge', 2 theaters, 79 days / 11.3 weeks,"b'$11,400'",The Film Desk,"February 16, 2011",b'Foreign',b'1 hrs. 36 min.',b'Unrated',b'N/A',N/A
b'Zero Motivation', 7 theaters, 72 days / 10.3 weeks,"b'$122,400'",Zeitgeist,"December 3, 2014",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',"b'$116,044'"
"b""Zhou Yu's Train""", 12 theaters, 119 days / 17 weeks,"b'$198,800'",Sony Classics,"July 16, 2004",b'Foreign',b'1 hrs. 37 min.',b'PG-13',b'N/A',"b'$324,457'"
b'Zinda', 38 theaters, 21 days / 3 weeks,"b'$439,600'",Eros,"January 13, 2006",b'Foreign',b'1 hrs. 54 min.',b'Unrated',b'N/A',N/A
b'Zindagi Na Milegi Dobara', 100 theaters, 70 days / 10 weeks,"b'$3,390,400'",Eros,"July 15, 2011",b'Foreign',b'2 hrs. 35 min.',b'Unrated',b'N/A',"b'$3,108,485'"
b'Zindagi Rocks', 10 theaters, 14 days / 2 weeks,"b'$13,400'",Eros,"October 6, 2006",b'Foreign',b'N/A',b'Unrated',b'N/A',N/A
b'Zokkomon', 24 theaters,N/A,"b'$3,000'",UTV Communications,"April 22, 2011",b'Foreign',b'1 hrs. 49 min.',b'PG',b'N/A',N/A
b'Zus &amp; Zo', 4 theaters, 45 days / 6.4 weeks,"b'$71,000'",Lifesize,"February 7, 2003",b'Foreign',b'1 hrs. 46 min.',b'Unrated',b'N/A',"b'$49,468'"
