,Adultsmoking,Adult obesity Value,Physical inactivity Value,Excessivedrinking,Alcohol-impaired driving deaths Value,Drug poisoning deaths Value,Mental,Poor physical health days Value,target,target2,badval,FN,FP
808,0.259,0.342,0.302,0.192,0.462,25.13,3,2.9,0,Below Median Income,1,0,1
509,0.334,0.34,0.371,0.081,0.343,35.55,5.2,5.6,0,Below Median Income,0,0,0
552,0.309,0.316,0.371,0.078,0.263,33.51,4,4.2,0,Below Median Income,0,0,0
798,0.202,0.347,0.321,0.11,0.2,24.84,5.1,4.8,0,Below Median Income,0,0,0
95,0.175,0.339,0.28,0.096,0.353,9.22,3.1,3.7,0,Below Median Income,1,0,1
36,0.267,0.356,0.308,0.161,0.179,7.23,5.2,5.8,0,Below Median Income,0,0,0
1628,0.234,0.336,0.252,0.203,0.4,9.67,2.8,2.9,1,Above Median Income,0,0,0
102,0.143,0.21,0.144,0.209,0.443,20.05,3.1,2.7,1,Above Median Income,0,0,0
1173,0.284,0.354,0.361,0.08,0.259,20.59,4,4.4,0,Below Median Income,0,0,0
481,0.255,0.326,0.259,0.147,0.423,12.44,2.9,3.8,0,Below Median Income,1,0,1
495,0.189,0.294,0.245,0.147,0.346,13.1,3.2,3.2,1,Above Median Income,0,0,0
1167,0.27,0.342,0.407,0.11,0.3,14.32,4.5,4.7,0,Below Median Income,0,0,0
89,0.23,0.315,0.273,0.105,0.282,13.23,4.2,4,1,Above Median Income,1,1,0
69,0.18,0.3,0.289,0.148,0.247,12.11,3.5,4,1,Above Median Income,1,1,0
1092,0.208,0.328,0.298,0.138,0.371,8.11,4.5,5.1,0,Below Median Income,0,0,0
1308,0.188,0.347,0.277,0.146,0.373,13.7,4.1,3.3,0,Below Median Income,1,0,1
756,0.136,0.277,0.19,0.21,0.288,6.52,2.2,2.5,1,Above Median Income,0,0,0
1464,0.17,0.281,0.225,0.184,0.306,8,2.6,2.8,1,Above Median Income,0,0,0
995,0.267,0.294,0.259,0.225,0.429,7.03,4.3,5.1,0,Below Median Income,0,0,0
1536,0.297,0.342,0.365,0.09,0.351,54.81,5.5,6.6,0,Below Median Income,0,0,0
733,0.166,0.27,0.212,0.199,0.357,8.51,3.9,3.5,1,Above Median Income,0,0,0
602,0.238,0.324,0.318,0.21,0.511,10.66,3.6,3.9,0,Below Median Income,1,0,1
